Class: wall, Score: 0.29, Coordinates: ymin=253.38478207588196, xmin=256.12181782722473, ymax=281.42195105552673, xmax=256.12181782722473, Width: width=930, Height: height=610, Position: x=256.12181782722473, y=267.40336656570435, Rotation: r=0, Size: l=28.037168979644775, w=9.124658703804016
Class: window, Score: 0.28, Coordinates: ymin=426.55376076698303, xmin=467.08547472953796, ymax=426.55376076698303, xmax=526.2878572940826, Width: width=930, Height: height=610, Position: x=496.6866660118103, y=426.55376076698303, Rotation: r=1, Size: l=59.20238256454468, w=11.982707977294922
Class: window, Score: 0.28, Coordinates: ymin=58.74462157487869, xmin=481.1764258146286, ymax=58.74462157487869, xmax=543.779359459877, Width: width=930, Height: height=610, Position: x=512.4778926372528, y=58.74462157487869, Rotation: r=1, Size: l=62.60293364524841, w=9.42780002951622
Class: wall, Score: 0.27, Coordinates: ymin=328.1386524438858, xmin=525.8788776397705, ymax=328.1386524438858, xmax=547.5945997238159, Width: width=930, Height: height=610, Position: x=536.7367386817932, y=328.1386524438858, Rotation: r=1, Size: l=21.71572208404541, w=14.578437805175781
Class: window, Score: 0.27, Coordinates: ymin=469.8202270269394, xmin=298.01471024751663, ymax=469.8202270269394, xmax=365.1169189810753, Width: width=930, Height: height=610, Position: x=331.56581461429596, y=469.8202270269394, Rotation: r=1, Size: l=67.10220873355865, w=11.64151668548584
Class: window, Score: 0.27, Coordinates: ymin=469.82684433460236, xmin=354.60459530353546, ymax=469.82684433460236, xmax=421.20813488960266, Width: width=930, Height: height=610, Position: x=387.90636509656906, y=469.82684433460236, Rotation: r=1, Size: l=66.6035395860672, w=11.74092173576355
Class: wall, Score: 0.27, Coordinates: ymin=247.02062278985977, xmin=769.9452191591263, ymax=293.25647860765457, xmax=769.9452191591263, Width: width=930, Height: height=610, Position: x=769.9452191591263, y=270.1385506987572, Rotation: r=0, Size: l=46.2358558177948, w=6.9972217082977295
Class: wall, Score: 0.27, Coordinates: ymin=323.2146483659744, xmin=249.6179437637329, ymax=323.2146483659744, xmax=292.52305805683136, Width: width=930, Height: height=610, Position: x=271.07050091028214, y=323.2146483659744, Rotation: r=1, Size: l=42.90511429309845, w=16.85791850090027
Class: wall, Score: 0.26, Coordinates: ymin=92.30895131826401, xmin=267.3127716779709, ymax=176.3908076286316, xmax=267.3127716779709, Width: width=930, Height: height=610, Position: x=267.3127716779709, y=134.3498794734478, Rotation: r=0, Size: l=84.08185631036758, w=13.28147292137146
Class: wall, Score: 0.26, Coordinates: ymin=422.3241013288498, xmin=726.4504712820053, ymax=422.3241013288498, xmax=772.434019446373, Width: width=930, Height: height=610, Position: x=749.4422453641891, y=422.3241013288498, Rotation: r=1, Size: l=45.983548164367676, w=8.72931957244873
Class: wall, Score: 0.26, Coordinates: ymin=468.0916553735733, xmin=245.1981309056282, ymax=468.0916553735733, xmax=296.83339208364487, Width: width=930, Height: height=610, Position: x=271.01576149463654, y=468.0916553735733, Rotation: r=1, Size: l=51.63526117801666, w=10.361104011535645
Class: wall, Score: 0.26, Coordinates: ymin=267.73539543151855, xmin=379.92818534374237, ymax=267.73539543151855, xmax=420.6127917766571, Width: width=930, Height: height=610, Position: x=400.27048856019974, y=267.73539543151855, Rotation: r=1, Size: l=40.684606432914734, w=8.185864090919495
Class: door, Score: 0.26, Coordinates: ymin=323.2146483659744, xmin=249.6179437637329, ymax=323.2146483659744, xmax=292.52305805683136, Width: width=930, Height: height=610, Position: x=271.07050091028214, y=323.2146483659744, Rotation: r=1, Size: l=42.90511429309845, w=16.85791850090027
Class: wall, Score: 0.25, Coordinates: ymin=336.3117182254791, xmin=538.6464375257492, ymax=336.3117182254791, xmax=560.8204740285873, Width: width=930, Height: height=610, Position: x=549.7334557771683, y=336.3117182254791, Rotation: r=1, Size: l=22.174036502838135, w=10.695968866348267
Class: wall, Score: 0.25, Coordinates: ymin=270.26011645793915, xmin=263.83888363838196, ymax=270.26011645793915, xmax=310.8885061740875, Width: width=930, Height: height=610, Position: x=287.36369490623474, y=270.26011645793915, Rotation: r=1, Size: l=47.049622535705566, w=14.65300977230072
Class: window, Score: 0.24, Coordinates: ymin=61.48224174976349, xmin=475.6526505947113, ymax=61.48224174976349, xmax=528.1153500080109, Width: width=930, Height: height=610, Position: x=501.8840003013611, y=61.48224174976349, Rotation: r=1, Size: l=52.46269941329956, w=10.86608275771141
Class: window, Score: 0.24, Coordinates: ymin=153.32209140062332, xmin=274.81850177049637, ymax=263.6472263932228, xmax=274.81850177049637, Width: width=930, Height: height=610, Position: x=274.81850177049637, y=208.48465889692307, Rotation: r=0, Size: l=110.32513499259949, w=13.94815742969513
Class: wall, Score: 0.24, Coordinates: ymin=325.84026515483856, xmin=458.1442692875862, ymax=458.9984565973282, xmax=458.1442692875862, Width: width=930, Height: height=610, Position: x=458.1442692875862, y=392.4193608760834, Rotation: r=0, Size: l=133.15819144248962, w=11.744279265403748
